,0,1,2,3,4,5,6,7
92,0.35620142253769677,0.5378006849255578,0.48,0.5,0.4975997892536746,0.6256013698511154,0.67320115910479,1.0
93,0.4690408594911327,0.4752907282058741,0.8715117866705453,0.5,0.54,0.6662210584646713,0.7110466215411468,1.0
94,0.23488052804172355,0.4534747658513698,0.48,0.5,0.49098146463624437,0.40347476585136977,0.4845623048761415,1.0
95,0.1783823447935322,0.4428488339881407,0.48,0.5,0.5828488339881407,0.4155335108053916,0.4954514322199467,1.0
96,0.18232071325308008,0.42054647193653905,0.48,0.5,0.5358907056126923,0.4006812974434629,0.4838324734646166,1.0
97,0.6616024715344683,0.5109254634127128,0.48,0.5,0.6324378861772607,0.9508462601521944,0.9484083739749337,1.0
98,0.14423202409594638,0.42783700903597993,0.48,0.5,0.5474232024095946,0.4168088216863517,0.49752981867435847,1.0
99,0.24934257755817793,0.4581651602891388,0.48,0.5,0.4866819364016228,0.40816516028913874,0.48847096690761566,1.0
100,0.5722452978968049,0.5477192052637662,0.48,0.5,0.5695438410527531,0.6946781456154543,0.7354384105275322,1.0
101,0.5281479279674213,0.5145369819918554,0.48,0.5,0.6299933429936007,0.7099733719744025,0.7427048809784749,1.0
102,0.45362652799968795,0.543859947999883,0.48,0.5,0.5783626527999688,0.6952638751997191,0.7373105591997582,1.0
103,0.11217040812644818,0.45154160993232556,0.48,0.5,0.4416023810382876,0.36874240361175475,0.4587424036117547,1.0
